"AGE","GEO","UNIT","TIME","SEX","Value","Flag and Footnotes"
"Total","Belgium","Number","2011","Total","11,000,638",""
"Total","Bulgaria","Number","2011","Total","7,364,570",""
"Total","Czechia","Number","2011","Total","10,436,560",""
"Total","Denmark","Number","2011","Total","5,560,628",""
"Total","Germany (until 1990 former territory of the FRG)","Number","2011","Total","80,219,695",""
"Total","Estonia","Number","2011","Total","1,294,455",""
"Total","Ireland","Number","2011","Total","4,574,888",""
"Total","Greece","Number","2011","Total","10,816,286",""
"Total","Spain","Number","2011","Total","46,815,910",""
"Total","France","Number","2011","Total","64,933,400",""
"Total","Croatia","Number","2011","Total","4,284,889",""
"Total","Italy","Number","2011","Total","59,433,744",""
"Total","Cyprus","Number","2011","Total","840,407",""
"Total","Latvia","Number","2011","Total","2,070,371",""
"Total","Lithuania","Number","2011","Total","3,043,429",""
"Total","Luxembourg","Number","2011","Total","512,353",""
"Total","Hungary","Number","2011","Total","9,937,628",""
"Total","Malta","Number","2011","Total","417,432",""
"Total","Netherlands","Number","2011","Total","16,655,799",""
"Total","Austria","Number","2011","Total","8,401,940",""
"Total","Poland","Number","2011","Total","38,044,565",""
"Total","Portugal","Number","2011","Total","10,562,178",""
"Total","Romania","Number","2011","Total","20,121,641",""
"Total","Slovenia","Number","2011","Total","2,050,189",""
"Total","Slovakia","Number","2011","Total","5,397,036",""
"Total","Finland","Number","2011","Total","5,375,276",""
"Total","Sweden","Number","2011","Total","9,482,855",""
"Total","United Kingdom","Number","2011","Total","63,182,180",""
"Total","Iceland","Number","2011","Total","315,556",""
"Total","Liechtenstein","Number","2011","Total","36,149",""
"Total","Norway","Number","2011","Total","4,979,954",""
"Total","Switzerland","Number","2011","Total","7,954,662",""
