"Dodana vrednost po: TRANSAKCIJE, MERITVE, VRSTA PODATKA , ÈETRTLETJE"

" ";"Stalne cene, referenèno leto 2010 (mio EUR)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Originalni podatki";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3";"2016Q4";"2017Q1";"2017Q2";"2017Q3";"2017Q4";"2018Q1";"2018Q2";"2018Q3"
"A Kmetijstvo, lov, gozdarstvo, ribištvo";149.7;143.6;135.5;177.9;140.3;176.5;159.1;162.3;150.3;187.0;167.4;170.4;148.1;184.8;164.7;166.8;139.0;173.8;155.1;157.6;141.0;175.7;156.9;160.2;140.7;176.3;156.3;160.8;162.3;204.8;181.0;183.7;116.6;153.2;133.8;132.7;149.4;192.4;170.8;172.4;142.6;183.8;161.8;158.6;138.9;179.5;160.6;162.6;151.8;190.7;167.7;166.0;151.1;189.7;171.9;166.9;127.5;176.3;161.0;151.0;129.1;182.8;162.0;152.1;146.1;190.4;167.4;164.4;133.7;174.2;154.3;151.0;121.3;166.7;155.6;164.2;144.3;188.7;170.3;179.2;150.6;204.6;189.3;201.4;154.2;204.3;189.6;203.4;148.8;195.7;181.9;187.2;159.4;222.0;207.2
"BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja";1108.1;1223.1;1100.1;1126.1;1101.8;1219.9;1164.8;1277.0;1176.6;1330.7;1247.1;1362.7;1254.5;1345.1;1272.9;1343.7;1238.0;1362.1;1317.1;1426.6;1384.8;1504.6;1421.8;1488.0;1465.7;1553.0;1458.7;1515.3;1526.1;1632.3;1551.0;1608.0;1602.7;1680.3;1626.4;1695.1;1674.4;1800.6;1738.2;1732.7;1706.3;1903.9;1798.9;1809.2;1829.2;1985.3;1927.8;1978.0;1979.9;2135.4;2071.0;2112.3;2079.1;2275.3;2104.1;1924.0;1717.1;1852.9;1812.2;1801.3;1720.1;2031.6;1948.6;1950.7;1856.9;2139.5;1948.2;1888.5;1860.9;2066.9;1865.6;1844.5;1820.5;2009.6;1855.7;1936.0;1894.4;2123.4;1964.8;2006.0;1948.8;2126.9;1964.1;2025.0;2013.7;2258.8;2049.2;2112.5;2149.0;2401.2;2214.7;2319.1;2276.9;2526.5;2284.2
"..od tega: C Predelovalne dejavnosti";887.2;1000.9;886.6;907.7;891.3;1000.9;948.2;1043.2;953.4;1095.7;1013.8;1115.8;1016.7;1110.6;1040.3;1095.2;1004.6;1137.1;1084.9;1167.6;1136.1;1257.8;1176.1;1236.4;1220.6;1301.2;1221.0;1267.9;1281.7;1373.3;1313.1;1333.5;1342.1;1407.0;1385.9;1427.8;1405.6;1499.5;1481.0;1458.8;1427.4;1598.6;1538.1;1519.8;1535.2;1672.2;1651.2;1648.3;1668.6;1813.1;1788.1;1781.1;1742.4;1913.0;1805.9;1600.4;1399.6;1525.9;1531.3;1477.4;1397.2;1697.5;1660.6;1612.0;1523.6;1807.9;1660.8;1553.3;1527.6;1732.3;1575.8;1509.2;1473.9;1677.3;1560.5;1596.6;1543.2;1769.3;1663.7;1678.3;1614.2;1792.0;1672.5;1707.8;1685.9;1918.2;1752.0;1774.3;1805.3;2050.9;1904.5;1967.7;1926.8;2168.8;1974.2
"F Gradbeništvo";300.7;352.8;369.0;347.0;336.1;395.2;418.8;362.1;352.1;421.7;428.3;377.2;363.4;399.3;415.8;408.3;404.7;494.8;466.5;449.0;413.5;441.6;487.7;454.8;409.0;438.2;488.4;455.9;409.8;448.1;501.9;476.8;428.9;497.0;525.0;482.1;441.6;480.4;541.8;484.0;436.6;526.3;546.8;503.4;456.1;561.3;649.1;638.2;585.0;698.6;753.9;680.0;683.6;727.4;782.1;653.5;616.6;650.4;650.1;547.2;501.8;521.1;528.1;463.9;428.0;450.3;489.6;444.0;411.8;424.8;450.7;385.7;335.6;369.1;411.9;409.5;384.7;442.6;456.6;401.0;382.8;422.1;438.1;417.1;333.5;399.1;443.9;422.2;370.5;432.5;454.1;477.0;414.3;480.5;535.6
"GHI Trgovina in popravila vozil, promet in skladišèenje, gostinstvo";829.8;933.4;1001.3;1013.0;844.0;935.5;1001.9;1000.7;893.8;1043.4;1090.0;1058.3;923.9;1057.7;1092.8;1101.1;980.8;1150.3;1100.4;1132.5;1045.6;1164.8;1177.7;1174.7;1157.3;1258.1;1255.2;1231.1;1215.6;1328.7;1333.6;1286.5;1247.6;1356.0;1370.6;1332.0;1280.1;1399.2;1434.7;1360.2;1345.9;1490.8;1507.4;1410.8;1446.7;1599.1;1597.0;1519.7;1541.5;1718.6;1730.3;1606.7;1619.1;1787.8;1793.7;1626.3;1450.8;1629.4;1633.7;1508.8;1415.6;1651.5;1699.2;1533.2;1422.0;1695.6;1748.5;1541.9;1393.8;1620.1;1654.6;1477.1;1325.1;1628.2;1679.5;1507.8;1359.1;1669.6;1738.4;1563.9;1427.6;1771.7;1845.0;1613.3;1519.0;1846.2;1932.5;1708.7;1636.4;1986.1;2049.3;1796.9;1698.5;2068.0;2139.4
"J Informacijske in komunikacijske dejavnosti";120.6;113.9;110.0;104.0;123.7;120.5;117.4;116.5;127.8;129.0;123.2;133.2;146.7;152.7;148.4;158.7;163.4;166.3;160.5;170.1;175.7;176.2;167.4;173.8;184.8;185.6;175.5;187.2;176.8;185.2;172.8;189.3;188.8;203.7;201.1;210.3;198.7;238.9;206.9;227.0;224.5;249.9;231.8;271.0;260.4;276.4;253.8;279.0;268.1;299.5;287.9;315.6;302.6;338.4;314.9;345.5;299.7;323.5;302.0;318.9;305.6;328.9;312.4;338.8;307.9;326.8;310.2;342.2;314.3;323.0;311.0;334.4;320.2;328.1;319.6;324.4;324.4;335.0;339.0;356.0;345.7;351.0;364.9;386.8;345.1;351.2;361.7;377.0;350.3;379.2;376.0;413.8;368.6;392.5;403.5
"K Finanène in zavarovalniške dejavnosti";160.0;169.1;164.5;151.3;175.9;158.5;166.3;189.9;177.5;161.3;169.0;180.9;194.6;173.1;188.5;212.6;225.3;199.7;210.0;235.6;238.5;203.3;210.2;248.8;247.2;220.1;220.1;253.8;254.6;219.0;241.6;287.0;291.5;252.3;266.6;298.8;307.5;273.2;289.6;327.5;354.8;310.2;318.1;350.0;375.6;362.7;353.9;316.8;437.5;423.3;413.2;356.6;480.9;464.6;405.1;339.5;565.3;455.7;333.2;351.8;535.8;428.0;359.9;373.7;562.6;421.7;365.6;281.9;523.9;371.0;347.9;318.3;556.0;377.4;353.5;227.2;539.2;357.7;317.9;279.7;496.6;356.2;309.8;295.7;476.7;375.7;355.6;299.7;461.0;354.2;328.6;336.1;475.6;331.2;359.6
